,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
0,주간,권선구,건조,맑음,2,4,5,5,16,24.3635535,4.476795931,4.588550984,4.444769141,4.460807601,33.97092366,71.83567951
1,주간,권선구,건조,비,2,4,5,4,15,22.76053081,4.476795931,4.588550984,4.444769141,4.798319328,33.30843538,68.72491881
2,주간,팔달구,건조,맑음,2,3,5,5,15,22.88682221,4.476795931,4.363636364,4.444769141,4.460807601,32.74600904,66.57238466
3,주간,권선구,젖음/습기,맑음,2,4,4,5,15,22.76053081,4.476795931,4.588550984,4.841059603,4.460807601,33.36721412,68.97607221
4,야간,권선구,건조,맑음,1,4,5,5,15,23.15035279,4.488599349,4.588550984,4.444769141,4.460807601,32.98272707,67.37068699
5,주간,권선구,서리/결빙,맑음,2,4,3,5,14,21.15750812,4.476795931,4.588550984,4.875,4.460807601,32.40115452,64.2368338
6,야간,권선구,젖음/습기,맑음,1,4,4,5,14,21.5473301,4.488599349,4.588550984,4.841059603,4.460807601,32.37901754,64.5110797
7,주간,권선구,건조,흐림,2,4,5,3,14,21.15750812,4.476795931,4.588550984,4.444769141,4.421875,31.93199106,62.7972665
8,주간,팔달구,건조,비,2,3,5,4,14,21.28379952,4.476795931,4.363636364,4.444769141,4.798319328,32.08352076,63.46162397
9,주간,팔달구,젖음/습기,맑음,2,3,4,5,14,21.28379952,4.476795931,4.363636364,4.841059603,4.460807601,32.1422995,63.71277737
10,주간,권선구,젖음/습기,비,2,4,4,4,14,21.15750812,4.476795931,4.588550984,4.841059603,4.798319328,32.70472585,65.86531152
11,야간,권선구,건조,비,1,4,5,4,14,21.5473301,4.488599349,4.588550984,4.444769141,4.798319328,32.3202388,64.2599263
12,야간,팔달구,건조,맑음,1,3,5,5,14,21.67362149,4.488599349,4.363636364,4.444769141,4.460807601,31.75781245,62.10739215
13,주간,장안구,건조,맑음,2,2,5,5,14,21.41009091,4.476795931,4.474332649,4.444769141,4.460807601,31.85670532,62.43014087
14,야간,권선구,젖음/습기,비,1,4,4,4,13,19.94430741,4.488599349,4.588550984,4.841059603,4.798319328,31.71652926,61.40031901
15,야간,권선구,서리/결빙,맑음,1,4,3,5,13,19.94430741,4.488599349,4.588550984,4.875,4.460807601,31.41295793,59.77184129
16,야간,장안구,건조,맑음,1,2,5,5,13,20.1968902,4.488599349,4.474332649,4.444769141,4.460807601,30.86850874,57.96514836
17,주간,장안구,건조,비,2,2,5,4,13,19.80706822,4.476795931,4.474332649,4.444769141,4.798319328,31.19421705,59.31938018
18,주간,권선구,건조,눈,2,4,5,2,13,19.55448544,4.476795931,4.588550984,4.444769141,3.571428571,30.08154463,56.67449865
19,주간,영통구,건조,맑음,2,1,5,5,13,19.93335962,4.476795931,4.492957746,4.444769141,4.460807601,30.87533042,57.97443332
20,주간,팔달구,젖음/습기,비,2,3,4,4,13,19.68077683,4.476795931,4.363636364,4.841059603,4.798319328,31.47981123,60.60201668
21,주간,팔달구,서리/결빙,맑음,2,3,3,5,13,19.68077683,4.476795931,4.363636364,4.875,4.460807601,31.1762399,58.97353896
22,야간,팔달구,건조,비,1,3,5,4,13,20.0705988,4.488599349,4.363636364,4.444769141,4.798319328,31.09532418,58.99663145
23,주간,팔달구,건조,흐림,2,3,5,3,13,19.68077683,4.476795931,4.363636364,4.444769141,4.421875,30.70707644,57.53397166
24,야간,팔달구,젖음/습기,맑음,1,3,4,5,13,20.0705988,4.488599349,4.363636364,4.841059603,4.460807601,31.15410292,59.24778485
25,주간,장안구,젖음/습기,맑음,2,2,4,5,13,19.80706822,4.476795931,4.474332649,4.841059603,4.460807601,31.25299578,59.57053358
26,야간,권선구,건조,흐림,1,4,5,3,13,19.94430741,4.488599349,4.588550984,4.444769141,4.421875,30.94379447,58.33227399
27,주간,권선구,서리/결빙,비,2,4,3,4,13,19.55448544,4.476795931,4.588550984,4.875,4.798319328,31.73866624,61.12607311
28,주간,권선구,기타,맑음,2,4,2,5,13,19.55448544,4.476795931,4.588550984,4.666666667,4.460807601,31.19282118,58.94516714
29,주간,권선구,젖음/습기,흐림,2,4,4,3,13,19.55448544,4.476795931,4.588550984,4.841059603,4.421875,31.32828152,59.93765921
30,야간,장안구,젖음/습기,맑음,1,2,4,5,12,18.59386751,4.488599349,4.474332649,4.841059603,4.460807601,30.2647992,55.10554106
31,주간,권선구,적설,맑음,2,4,1,5,12,17.95146275,4.476795931,4.588550984,4.25,4.460807601,29.77615452,53.8618338
32,야간,팔달구,건조,흐림,1,3,5,3,12,18.46757611,4.488599349,4.363636364,4.444769141,4.421875,29.71887985,53.06897914
33,주간,팔달구,서리/결빙,비,2,3,3,4,12,18.07775414,4.476795931,4.363636364,4.875,4.798319328,30.51375162,55.86277826
34,주간,권선구,기타,비,2,4,2,4,12,17.95146275,4.476795931,4.588550984,4.666666667,4.798319328,30.53033291,55.83440644
35,주간,팔달구,젖음/습기,흐림,2,3,4,3,12,18.07775414,4.476795931,4.363636364,4.841059603,4.421875,30.1033669,54.67436436
